Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Crime,Freedom,1h 50m,110,5.9,1400
Crime,Maldoror,2h 35m,155,7.0,582
Crime,How to Rob a Bank,1h 28m,88,6.6,4200
Crime,Here Now,1h 58m,118,4.9,391
Crime,Hellhound,1h 43m,103,4.3,502
Crime,5lbs of Pressure,1h 51m,111,5.3,1600
Crime,Wanted Man,1h 25m,85,4.8,2600
Crime,Vettaiyan,2h 43m,163,7.0,39000
Crime,Nice Girls,1h 32m,92,4.2,1200
Crime,Strangers,1h 46m,106,4.3,385
Crime,Una ballena,1h 48m,108,6.0,73
Crime,Saripodhaa Sanivaaram,2h 46m,166,7.0,9000
Crime,Sorgavaasal,2h 18m,138,6.6,1300
Crime,The Park Maniac,1h 43m,103,4.8,1600
Crime,Shoutai,2h,120,6.9,538
Crime,Boundless,2h 1m,121,5.6,1900
Crime,Untamed Royals,1h 39m,99,4.6,629
Crime,In Her Place,1h 36m,96,6.2,1500
Crime,Loverboy: Emoties Uit,1h 38m,98,6.4,502
Crime,Roadkill,1h 30m,90,3.7,677
Crime,Belle,1h 40m,100,5.8,57
Crime,Bloodline Killer,1h 45m,105,3.8,4400
Crime,Ferry 2,1h 34m,94,5.6,3700
Crime,Døde menn går på ski,1h 29m,89,5.4,224
Crime,Daredevil vs Punisher,1h 23m,83,N/A,N/A
Crime,Savi,2h 6m,126,6.2,35000
Crime,Faultline,1h 32m,92,5.7,89
Crime,Jailbreak: Love on the Run,1h 28m,88,6.4,3100
Crime,Raayan,2h 25m,145,6.5,11000
Crime,Kingsmen,1h 12m,72,6.4,47
Crime,Kaulayaw,1h 35m,95,4.1,159
Crime,The Lockdown,1h 57m,117,4.3,603
Crime,Peg O' My Heart,1h 37m,97,6.1,110
Crime,GTMax,1h 40m,100,5.0,1200
Crime,Two to One,1h 56m,116,6.1,717
Crime,Havnaa,1h 50m,110,7.2,229
Crime,Baby Assassins: Nice Days,1h 43m,103,7.3,290
Crime,Biggest Heist Ever,1h 25m,85,6.1,1400
Crime,A Place Called Silence,1h 59m,119,6.4,1200
Crime,Serpent's Path,1h 52m,112,5.7,280
Crime,The Girl Who Wore Yellow Lace,1h 22m,82,4.6,21
Crime,Tillu Square,2h 17m,137,6.6,3400
Crime,Sons of Rizk 3,2h 5m,125,6.7,1700
Crime,Mission: Cross,1h 45m,105,6.1,2600
Crime,Last Known Location,1h 50m,110,6.3,1400
Crime,Papa,2h 11m,131,7.5,320
Crime,Anand Sreebala,2h 14m,134,6.6,2400
Crime,Bhakshak,2h 14m,134,7.2,7100
Crime,The Moon Thieves,1h 48m,108,6.1,242
Crime,The Birds Who Fear Death,1h 42m,102,9.2,73
Crime,Citizen of a Kind,1h 54m,114,6.7,792
Crime,Auron Mein Kahan Dum Tha,2h 30m,150,6.6,41000
