Genre,Movie Name,Duration,Duration Minutes,Rating,Votes,genre
Action,One More Shot,1h 43m,103.0,5.4,3600.0,Scripts\action_movies
Action,Amaran,2h 47m,167.0,8.2,18000.0,Scripts\action_movies
Action,The Shadow Strays,2h 24m,144.0,6.5,9100.0,Scripts\action_movies
Action,Jackpot!,1h 46m,106.0,5.8,30000.0,Scripts\action_movies
Action,Cash Out,1h 32m,92.0,4.8,2900.0,Scripts\action_movies
Action,Weekend in Taipei,1h 40m,100.0,5.7,4500.0,Scripts\action_movies
Action,The Silent Hour,1h 39m,99.0,6.1,7300.0,Scripts\action_movies
Action,Duchess,1h 54m,114.0,4.6,1300.0,Scripts\action_movies
Action,Watchmen: Chapter II,1h 30m,90.0,7.0,2900.0,Scripts\action_movies
Action,Red Right Hand,1h 51m,111.0,5.5,5800.0,Scripts\action_movies
Action,Chief of Station,1h 37m,97.0,4.7,4600.0,Scripts\action_movies
Action,Fighter,2h 46m,166.0,6.2,52000.0,Scripts\action_movies
Action,Boneyard,1h 36m,96.0,4.1,4900.0,Scripts\action_movies
Action,Rogue Elements: A Ryan Drake Story,44m,44.0,4.7,946.0,Scripts\action_movies
Action,Hitpig,1h 26m,86.0,5.1,905.0,Scripts\action_movies
Action,Aavesham,2h 35m,155.0,7.8,28000.0,Scripts\action_movies
Action,Karma,2h 47m,167.0,8.0,1400.0,Scripts\action_movies
Action,Harbin,1h 48m,108.0,6.4,558.0,Scripts\action_movies
Action,Baby Invasion,1h 20m,80.0,4.6,387.0,Scripts\action_movies
Action,Uprising,2h 6m,126.0,6.6,5400.0,Scripts\action_movies
Action,No Way Up,1h 30m,90.0,4.6,10000.0,Scripts\action_movies
Action,Baby John,2h 39m,159.0,5.4,17000.0,Scripts\action_movies
Action,Megamind vs. The Doom Syndicate,1h 23m,83.0,2.5,5500.0,Scripts\action_movies
Action,Sikandar Ka Muqaddar,2h 22m,142.0,6.0,24000.0,Scripts\action_movies
Action,The Fix,1h 38m,98.0,4.6,1200.0,Scripts\action_movies
Action,River of Blood,1h 26m,86.0,5.3,1700.0,Scripts\action_movies
Action,Black Heat,1h 33m,93.0,8.6,117.0,Scripts\action_movies
Action,Viduthalai Part 2,2h 50m,170.0,7.9,16000.0,Scripts\action_movies
Action,The Wages of Fear,1h 44m,104.0,4.6,4100.0,Scripts\action_movies
Action,Damaged,1h 37m,97.0,4.7,7200.0,Scripts\action_movies
Action,Devil's Knight,1h 30m,90.0,5.4,800.0,Scripts\action_movies
Action,Dominique,1h 40m,100.0,5.3,2200.0,Scripts\action_movies
Action,The Quiet Ones,1h 50m,110.0,6.4,652.0,Scripts\action_movies
Action,Take Cover,1h 30m,90.0,5.1,2400.0,Scripts\action_movies
Action,Overlord: The Sacred Kingdom,2h 15m,135.0,6.9,877.0,Scripts\action_movies
Action,Operation Undead,1h 50m,110.0,4.6,394.0,Scripts\action_movies
Action,Devara Part 1,2h 56m,176.0,6.0,20000.0,Scripts\action_movies
Action,Role Play,1h 40m,100.0,5.5,19000.0,Scripts\action_movies
Action,Justice League: Crisis on Infinite Earths - Part One,1h 33m,93.0,6.2,8400.0,Scripts\action_movies
Action,Justice League: Crisis on Infinite Earths - Part Three,1h 34m,94.0,6.1,4400.0,Scripts\action_movies
Action,Trouble,1h 38m,98.0,6.2,6700.0,Scripts\action_movies
Action,Levels,1h 33m,93.0,5.0,1500.0,Scripts\action_movies
Action,Prey,1h 26m,86.0,3.7,3300.0,Scripts\action_movies
Action,Singham Again,2h 24m,144.0,4.8,75000.0,Scripts\action_movies
Action,Bangkok Dog,1h 25m,85.0,5.0,148.0,Scripts\action_movies
Action,Anaconda,1h 24m,84.0,4.8,622.0,Scripts\action_movies
Action,Hagen,2h 19m,139.0,6.1,1200.0,Scripts\action_movies
Action,The Thundermans Return,1h 10m,70.0,5.0,1800.0,Scripts\action_movies
Action,Night Call,1h 37m,97.0,6.8,1900.0,Scripts\action_movies
Action,My Spy: The Eternal City,1h 52m,112.0,5.7,11000.0,Scripts\action_movies
Action,Dark Match,1h 34m,94.0,5.5,919.0,Scripts\action_movies
Action,The Roundup: Punishment,1h 49m,109.0,6.6,5200.0,Scripts\action_movies
Action,Hounds of War,1h 35m,95.0,4.5,1700.0,Scripts\action_movies
Action,Hanu Man,2h 38m,158.0,7.7,29000.0,Scripts\action_movies
Action,Rifle Club,1h 53m,113.0,7.0,4100.0,Scripts\action_movies
Action,Jigra,2h 33m,153.0,6.0,23000.0,Scripts\action_movies
Action,Mafia Wars,1h 34m,94.0,3.4,232.0,Scripts\action_movies
Action,"I, the Executioner",1h 58m,118.0,6.3,1700.0,Scripts\action_movies
Action,The Price of Money: A Largo Winch Adventure,1h 40m,100.0,5.0,1100.0,Scripts\action_movies
Action,Badland Hunters,1h 47m,107.0,5.9,12000.0,Scripts\action_movies
Action,Sunray: Fallen Soldier,1h 55m,115.0,4.3,622.0,Scripts\action_movies
Action,Ultraman: Rising,1h 57m,117.0,6.9,6300.0,Scripts\action_movies
Action,The Clean Up Crew,1h 35m,95.0,4.1,1100.0,Scripts\action_movies
Action,Death Whisperer 2,1h 50m,110.0,6.4,1300.0,Scripts\action_movies
Action,Bougainvillea,2h 18m,138.0,6.4,3100.0,Scripts\action_movies
Action,Officer Black Belt,1h 48m,108.0,6.8,8100.0,Scripts\action_movies
Action,Panda Plan,1h 39m,99.0,5.1,1200.0,Scripts\action_movies
Action,Code 8: Part II,1h 40m,100.0,5.7,16000.0,Scripts\action_movies
Action,Pani,2h 23m,143.0,6.9,2900.0,Scripts\action_movies
Action,The Courier,1h 41m,101.0,6.0,4400.0,Scripts\action_movies
Action,Joe Baby,1h 26m,86.0,7.6,29.0,Scripts\action_movies
Action,Air Force One Down,1h 24m,84.0,4.4,2900.0,Scripts\action_movies
Action,Cesium Fallout,2h 16m,136.0,6.6,559.0,Scripts\action_movies
Action,11 Rebels,2h 35m,155.0,6.2,353.0,Scripts\action_movies
Action,Rats!,1h 25m,85.0,6.5,114.0,Scripts\action_movies
Action,A Legend,2h 9m,129.0,4.7,884.0,Scripts\action_movies
Action,My Hero Academia: You're Next,1h 50m,110.0,7.0,2000.0,Scripts\action_movies
Action,Cloud,2h 4m,124.0,6.3,1000.0,Scripts\action_movies
Action,Vanvaas,2h 40m,160.0,6.6,1300.0,Scripts\action_movies
