Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Drama,Rebel Moon - Part Two: The Scargiver,2h 2m,122,5.3,59000
Drama,Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,1h 42m,102,8.6,92
Drama,Back to Black,2h 2m,122,6.3,26000
Drama,Young Woman and the Sea,2h 9m,129,7.5,17000
Drama,Joy,1h 55m,115,7.1,9200
Drama,Exhuma,2h 14m,134,6.9,23000
Drama,Killer Heat,1h 35m,95,5.6,13000
Drama,Sebastian,1h 50m,110,6.7,1700
Drama,Kalki 2898 AD,3h,180,7.0,66000
Drama,Loveable,1h 41m,101,7.9,1600
Drama,Goodrich,1h 50m,110,6.3,5100
Drama,Rumours,1h 44m,104,5.0,4500
Drama,Long Gone Heroes,1h 41m,101,5.2,1000
Drama,Arthur the King,1h 47m,107,7.0,34000
Drama,Canary Black,1h 41m,101,5.3,11000
Drama,Sound of Hope: The Story of Possum Trot,2h 10m,130,7.2,2100
Drama,Unstoppable,1h 56m,116,6.8,4000
Drama,The Damned,1h 29m,89,5.7,3900
Drama,The Fire Inside,1h 49m,109,6.7,2400
Drama,Vermiglio,1h 59m,119,6.9,3900
Drama,Cabrini,2h 22m,142,7.3,8600
Drama,Bonhoeffer: Pastor. Spy. Assassin.,2h 13m,133,6.3,3500
Drama,Lonely Planet,1h 34m,94,5.7,11000
Drama,Superboys of Malegaon,2h 7m,127,8.0,1400
Drama,How to Make Millions Before Grandma Dies,2h 5m,125,8.0,13000
Drama,The Salt Path,1h 55m,115,7.8,111
Drama,Darkest Miriam,1h 27m,87,6.8,55
Drama,Los Frikis,1h 51m,111,6.9,773
Drama,Teri Baaton Mein Aisa Uljha Jiya,2h 21m,141,6.2,54000
Drama,Under Paris,1h 44m,104,5.2,36000
Drama,Armand,1h 58m,118,6.2,2600
Drama,Midas Man,1h 52m,112,6.4,1500
Drama,Lilies Not for Me,1h 39m,99,7.8,105
Drama,Restless,1h 29m,89,6.8,136
Drama,Armor,1h 29m,89,3.6,3700
Drama,Watchmen: Chapter I,1h 23m,83,7.0,6400
Drama,Ghostlight,1h 55m,115,7.6,5800
Drama,My Penguin Friend,1h 37m,97,6.7,4900
Drama,Amaran,2h 47m,167,8.2,18000
Drama,Being Maria,1h 40m,100,6.1,576
Drama,Black Dog,1h 56m,116,7.2,2600
Drama,Modi: Three Days on the Wing of Madness,1h 50m,110,5.6,506
Drama,The Devil's Bath,2h 1m,121,6.6,6100
Drama,Goebbels and the Führer,2h 15m,135,6.7,2100
Drama,Love Me,1h 31m,91,5.1,2400
Drama,A Sacrifice,1h 34m,94,5.0,5200
Drama,When Fall Is Coming,1h 44m,104,6.8,1500
Drama,The Children's Train,1h 46m,106,7.4,7000
Drama,Look Back,58m,58,7.8,14000
Drama,Succubus,1h 43m,103,4.6,1200
Drama,Kishkindha Kaandam,2h 13m,133,8.0,11000
Drama,Winner,1h 43m,103,6.5,2400
Drama,Dìdi,1h 33m,93,7.3,12000
Drama,Out of My Mind,1h 42m,102,7.4,2600
Drama,Laura,1h 44m,104,6.5,229
Drama,Mother of the Bride,1h 28m,88,4.8,17000
Drama,On Falling,1h 44m,104,7.4,480
Drama,The Uninvited,1h 37m,97,5.9,154
Drama,Winter Spring Summer or Fall,1h 37m,97,7.0,481
Drama,The Tearsmith,1h 43m,103,5.2,12000
Drama,Do Patti,2h 6m,126,6.5,68000
Drama,Grafted,1h 36m,96,5.6,2200
Drama,"Oh, Canada",1h 31m,91,5.7,1900
Drama,Bob Marley: One Love,1h 47m,107,6.2,34000
Drama,Four Mothers,1h 29m,89,7.4,152
Drama,Watchmen: Chapter II,1h 30m,90,7.0,2900
Drama,Between Borders,1h 30m,90,6.4,188
Drama,Fighter,2h 46m,166,6.2,52000
Drama,Boneyard,1h 36m,96,4.1,4900
Drama,Faith of Angels,1h 38m,98,5.8,192
Drama,Mary,1h 52m,112,5.2,8000
Drama,Guilty Pleasure,1h 59m,119,5.9,113
Drama,Grand Tour,2h 8m,128,6.6,1500
Drama,Touch,2h 1m,121,7.4,5300
Drama,Mea Culpa,2h,120,4.2,7000
Drama,Four Letters of Love,2h 5m,125,6.6,31
Drama,Dard,2h 36m,156,6.8,1700
Drama,Uprising,2h 6m,126,6.6,5400
Drama,The Greatest Hits,1h 34m,94,6.2,7300
Drama,The Thicket,1h 48m,108,5.8,3000
Drama,The Wonderful Story of Henry Sugar and Three More,1h 28m,88,7.1,6500
Drama,Monsieur Aznavour,2h 13m,133,7.3,2300
Drama,No Way Up,1h 30m,90,4.6,10000
Drama,Baby John,2h 39m,159,5.4,17000
Drama,Millers in Marriage,1h 57m,117,5.3,349
Drama,Hold Your Breath,1h 34m,94,5.3,8500
Drama,Through My Window: Looking at You,1h 45m,105,5.4,5200
Drama,Girls Will Be Girls,1h 58m,118,7.1,2400
Drama,Bramayugam,2h 19m,139,7.8,14000
Drama,The Goat Life,2h 53m,173,7.1,47000
Drama,Unsung Hero,1h 53m,113,7.0,4900
Drama,Sikandar Ka Muqaddar,2h 22m,142,6.0,24000
Drama,The Girl in the Pool,1h 29m,89,4.3,1400
Drama,Scoop,1h 42m,102,6.5,20000
Drama,Black Heat,1h 33m,93,8.6,117
Drama,Omni Loop,1h 52m,112,5.6,2800
Drama,The Best Christmas Pageant Ever,1h 39m,99,6.8,6100
Drama,Swimming Home,1h 39m,99,4.8,398
Drama,Viduthalai Part 2,2h 50m,170,7.9,16000
Drama,The Wages of Fear,1h 44m,104,4.6,4100
Drama,Waltzing with Brando,1h 44m,104,8.6,326
Drama,The Piano Lesson,2h 7m,127,6.2,4800
Drama,Turtles All the Way Down,1h 51m,111,6.6,6900
Drama,Damaged,1h 37m,97,4.7,7200
Drama,Tyler Perry's Divorce in the Black,2h 23m,143,4.6,3500
Drama,Shaitaan,2h 12m,132,6.5,54000
Drama,Waves,2h 11m,131,8.1,1600
Drama,The Great Lillian Hall,1h 50m,110,7.4,1900
Drama,Maliko,2h 20m,140,6.1,75
Drama,Baby,1h 47m,107,7.4,467
Drama,Blackwater Lane,1h 48m,108,4.6,1800
Drama,The Most Precious of Cargoes,1h 21m,81,7.1,842
Drama,Sector 36,2h 3m,123,7.1,25000
Drama,This Is Me... Now,1h 5m,65,4.1,7100
Drama,Universal Language,1h 29m,89,7.1,1200
Drama,Reputation,1h 23m,83,9.3,8
Drama,Crossing,1h 46m,106,7.4,4900
Drama,Justice,1h 53m,113,6.3,3800
Drama,Lost on a Mountain in Maine,1h 38m,98,6.1,1200
Drama,Operation Undead,1h 50m,110,4.6,394
Drama,Souleymane's Story,1h 33m,93,7.7,2700
Drama,Devara Part 1,2h 56m,176,6.0,20000
Drama,Så länge hjärtat slår,1h 44m,104,7.2,222
Drama,Justice League: Crisis on Infinite Earths - Part Three,1h 34m,94,6.1,4400
Drama,Suncoast,1h 49m,109,6.7,7200
Drama,Rob Peace,2h,120,6.5,1900
Drama,My Favourite Cake,1h 37m,97,7.4,7100
Drama,Dead Wrong,1h 44m,104,3.9,257
Drama,Depravity,1h 57m,117,4.3,971
Drama,The Boy with Pink Trousers,1h 54m,114,6.7,710
Drama,Kontra,1h 41m,101,4.4,348
Drama,Singham Again,2h 24m,144,4.8,75000
Drama,The Dead Thing,1h 34m,94,4.7,884
Drama,Last Swim,1h 36m,96,6.9,173
Drama,Bookworm,1h 43m,103,6.0,1800
Drama,Escape from Germany,1h 37m,97,5.3,943
Drama,Hagen,2h 19m,139,6.1,1200
Drama,The Thundermans Return,1h 10m,70,5.0,1800
Drama,The Shameless,1h 54m,114,5.7,214
Drama,Colors of Evil: Red,1h 51m,111,6.4,8400
Drama,On Becoming a Guinea Fowl,1h 39m,99,7.2,810
Drama,High Tide,1h 41m,101,6.6,547
Drama,The Flood,1h 41m,101,6.5,245
Drama,Sex,2h 5m,125,6.6,965
Drama,The Colors Within,1h 41m,101,7.1,919
Drama,Julie Keeps Quiet,1h 40m,100,6.6,910
Drama,Ponyboi,1h 43m,103,5.8,284
Drama,All of You,1h 38m,98,7.3,80
Drama,Hounds of War,1h 35m,95,4.5,1700
Drama,In the Summers,1h 35m,95,6.5,947
Drama,Before Dawn,1h 41m,101,5.4,961
Drama,Exhibiting Forgiveness,1h 57m,117,7.0,1200
Drama,Something in the Water,1h 26m,86,4.1,4600
Drama,B.O.Y.: Bruises of Yesterday,1h 27m,87,7.6,361
Drama,The Wailing,1h 47m,107,6.1,1100
Drama,A True Gentleman,1h 50m,110,4.5,2100
Drama,Mr. K,1h 34m,94,6.2,376
Drama,Jigra,2h 33m,153,6.0,23000
Drama,Strictly Confidential,1h 34m,94,2.8,839
Drama,Reading Lolita in Tehran,1h 48m,108,6.9,212
Drama,Wild Diamond,1h 43m,103,6.4,656
Drama,Let Go,1h 50m,110,7.0,6400
Drama,Maharaj,2h 11m,131,6.5,15000
Drama,Love in the Big City,1h 58m,118,7.5,1400
Drama,Rez Ball,1h 51m,111,6.3,2400
Drama,Niki,1h 38m,98,6.0,345
Drama,Big World,2h 11m,131,7.3,1200
Drama,The Price of Money: A Largo Winch Adventure,1h 40m,100,5.0,1100
Drama,Bedspacer,1h 30m,90,4.4,336
Drama,Badland Hunters,1h 47m,107,5.9,12000
Drama,The Empire,1h 50m,110,5.2,1200
Drama,Viet and Nam,2h 9m,129,6.4,393
Drama,Good One,1h 29m,89,6.7,2500
Drama,"From Hilde, with Love",2h 5m,125,7.0,877
Drama,You Can't Run Forever,1h 42m,102,4.5,4300
Drama,The Mehta Boys,1h 56m,116,7.1,2400
Drama,Lola,1h 24m,84,3.8,1100
Drama,Dreams (Sex Love),1h 50m,110,7.7,372
Drama,Lilly,1h 33m,93,8.1,37
Drama,September Says,1h 40m,100,6.4,351
Drama,The Sand Castle,1h 38m,98,4.7,1600
Drama,Treasure,1h 51m,111,6.3,2000
Drama,The Supremes at Earl's All-You-Can-Eat,2h 4m,124,6.4,1400
Drama,Madgaon Express,2h 23m,143,7.0,41000
Drama,The Red Virgin,1h 54m,114,6.8,3100
Drama,Khel Khel Mein,2h 15m,135,6.5,27000
Drama,Pedro Páramo,2h 10m,130,6.3,2900
Drama,Code 8: Part II,1h 40m,100,5.7,16000
Drama,The Courier,1h 41m,101,6.0,4400
Drama,Kabitan,1h 4m,64,7.4,109
Drama,"The Way, My Way",1h 38m,98,6.5,451
Drama,Dead Mail,1h 46m,106,6.7,296
Drama,Toxic,1h 39m,99,6.9,444
Drama,Last Night on Earth,1h 26m,86,4.8,355
Drama,Timestalker,1h 29m,89,5.5,2900
Drama,House of Spoils,1h 41m,101,5.0,3800
Drama,Triumph,1h 38m,98,5.5,247
Drama,Sweet Dreams,1h 35m,95,5.4,1400
Drama,Bogota: City of the Lost,1h 48m,108,5.4,1900
Drama,The New Year That Never Came,2h 18m,138,8.2,4900
Drama,I Love You Forever,1h 29m,89,5.6,171
Drama,Cesium Fallout,2h 16m,136,6.6,560
Drama,Nutcrackers,1h 44m,104,5.5,9300
Drama,Handling the Undead,1h 37m,97,5.4,4300
Drama,11 Rebels,2h 35m,155,6.2,355
Drama,Sons,1h 40m,100,6.5,1700
Drama,Level Cross,1h 56m,116,6.8,2600
Drama,A Legend,2h 9m,129,4.7,884
Drama,Goldilocks and the Two Bears,2h 16m,136,6.0,41
Drama,Sujo,2h 6m,126,7.1,747
Drama,Barron's Cove,1h 56m,116,8.2,28
Drama,The Beautiful Game,2h 5m,125,6.3,8000
Drama,A Mistake,1h 41m,101,5.5,747
Drama,Cloud,2h 4m,124,6.3,1000
Drama,Manjummel Boys,2h 15m,135,8.2,27000
Drama,Anweshippin Kandethum,2h 22m,142,7.4,10000
Drama,Vanvaas,2h 40m,160,6.6,1300
Drama,Without Blood,1h 31m,91,7.6,93
Drama,Cinderella's Curse,1h 22m,82,3.3,1300
Drama,Saint-Exupéry,1h 38m,98,5.5,252
Drama,Happyend,1h 53m,113,7.1,506
Drama,Mond,1h 32m,92,7.0,244
Drama,Ulajh,2h 30m,150,6.0,24000
Drama,Gaslit by My Husband: The Morgan Metzer Story,1h 28m,88,6.4,355
Drama,The Kingdom,1h 52m,112,6.9,715
Drama,Blue Cave,1h 28m,88,5.5,6100
Drama,Wonderland,1h 53m,113,6.2,2200
Drama,Article 370,2h 38m,158,7.8,25000
Drama,An Ordinary Case,1h 55m,115,6.6,890
Drama,Babah,2h 9m,129,6.8,148
Drama,April,2h 14m,134,6.5,371
Drama,F-Buddies,53m,53,4.5,136
Drama,Same Old West,1h 38m,98,7.9,106
Drama,I Want to Talk,2h 2m,122,7.1,2100
Drama,Stormskerry Maja,2h 44m,164,7.7,2200
Drama,The Image of You,1h 30m,90,4.6,820
Drama,An Unfinished Film,1h 45m,105,7.2,518
Drama,Limonov: The Ballad of Eddie,2h 18m,138,6.0,771
Drama,I Wish You All the Best,1h 32m,92,6.9,74
Drama,Pure Love,1h 49m,109,7.2,142
Drama,The Tiger's Apprentice,1h 24m,84,5.7,2200
Drama,Cinderella's Revenge,1h 25m,85,3.7,1100
