Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Adventure,Golden Kamuy,2h 7m,127,6.3,2500
Adventure,One Million Babes BC,1h 15m,75,2.2,78
Adventure,Doraemon the Movie: Nobita's Earth Symphony,1h 55m,115,6.6,1500
Adventure,Bambi: A Tale of Life in the Woods,1h 18m,78,5.7,160
Adventure,Angels Fallen: Warriors of Peace,1h 43m,103,4.9,5800
Adventure,The Twisters,1h 26m,86,2.6,325
Adventure,Dragonkeeper,1h 38m,98,5.7,1600
Adventure,Unspeakable: Beyond the Wall of Sleep,1h 30m,90,6.2,47
Adventure,Crayon Shin-chan: Ora's Dinosaur Diary,1h 46m,106,6.4,334
Adventure,Lumina,1h 53m,113,2.1,659
Adventure,The Firing Squad,1h 33m,93,5.4,5000
Adventure,Eat the Night,1h 46m,106,6.1,458
Adventure,Bade Miyan Chote Miyan,2h 43m,163,3.7,39000
Adventure,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,104,7.1,8400
Adventure,The Last Redemption,2h 2m,122,6.7,3400
Adventure,Roadkill,1h 30m,90,3.7,677
Adventure,WWII: Operation Phoenix,1h 46m,106,6.2,71
Adventure,Escape,1h 34m,94,6.4,2000
Adventure,No Time to Spy: A Loud House Movie,1h 21m,81,6.4,444
Adventure,War of the Worlds: Extinction,1h 24m,84,3.1,200
Adventure,A Sloth Story,1h 30m,90,5.6,203
Adventure,No Chains No Masters,1h 38m,98,6.4,498
Adventure,A.R.M,2h 30m,150,7.1,8600
Adventure,Escape from the 21st Century,1h 38m,98,6.5,855
Adventure,Man and Witch: The Dance of a Thousand Steps,1h 34m,94,5.5,328
Adventure,Diplodocus,1h 30m,90,6.3,171
Adventure,My Oni Girl,1h 52m,112,6.0,1700
Adventure,Bionic,1h 50m,110,4.3,1700
Adventure,Thangalaan,2h 36m,156,6.6,6600
Adventure,This Too Shall Pass,1h 45m,105,N/A,N/A
Adventure,Robin and the Hoods,1h 40m,100,4.4,509
Adventure,Kanguva,2h 32m,152,4.5,15000
Adventure,Now or Never!,2h 32m,N/A,2.2,17000
Adventure,The Lost Tiger,1h 30m,90,7.8,44
Adventure,Noah's Ark,1h 36m,96,4.3,641
Adventure,The Last Ronin,1h 55m,115,4.8,566
Adventure,Spiders on a Plane,1h 18m,78,5.2,371
Adventure,Gracie and Pedro: Pets to the Rescue,1h 27m,87,5.1,265
Adventure,The Magician's Raincoat,1h 27m,N/A,5.5,97
Adventure,Pimpinero: Blood and Oil,2h 1m,121,5.6,544
Adventure,Planetquake,1h 25m,85,3.0,296
Adventure,Guest from the Future,2h 21m,141,6.0,1200
Adventure,Marianengraben,1h 27m,87,7.5,81
Adventure,The Last of Us: Immunity,1h 4m,64,5.8,14
Adventure,The Phantom Warrior,1h 59m,119,2.4,555
Adventure,Ayalaan,2h 35m,155,6.0,4000
Adventure,Game of Death - The six Doors to Hell,2h 35m,N/A,N/A,N/A
Adventure,Going Viral,1h 30m,90,6.8,52
Adventure,Rebellious,1h 34m,94,6.0,186
Adventure,Barroz: Guardian of Treasures,2h 35m,155,3.5,988
Adventure,Bureau 749,2h 3m,123,4.1,519
Adventure,Never Look Away,1h 25m,85,7.2,255
Adventure,School of Magical Animals 3,1h 45m,105,5.9,307
Adventure,The Goat,1h 40m,100,6.0,95
Adventure,The Keepers of the 5 Kingdoms,1h 49m,109,4.0,219
Adventure,All for One,1h 37m,97,1.2,622
Adventure,Oscar Wilde About America,1h 38m,98,3.5,22
Adventure,Dalia y el Libro Rojo,1h 47m,107,6.4,77
Adventure,Cells at Work!,1h 49m,109,6.8,191
Adventure,STEVE (A Minecraft Movie),1h 1m,61,N/A,N/A
Adventure,Gladiators,1h 35m,95,6.3,39
Adventure,Treasure Trackers,1h 32m,92,5.8,159
Adventure,The Mountain,1h 29m,89,6.6,155
